"mpg","cyl","disp","hp","weight","acc","model.year","origin","model.name"
"12","8","429","198","4952","12","73","1"," mercury marquis brougham"
"13","8","400","150","4464","12","73","1"," chevrolet caprice classic"
"13","8","351","158","4363","13","73","1"," ford ltd"
"14","8","318","150","4237","15","73","1"," plymouth fury gran sedan"
"13","8","440","215","4735","11","73","1"," chrysler new yorker brougham"
"12","8","455","225","4951","11","73","1"," buick electra 225 custom"
"13","8","360","175","3821","11","73","1"," amc ambassador brougham"
"18","6","225","105","3121","17","73","1"," plymouth valiant"
"16","6","250","100","3278","18","73","1"," chevrolet nova custom"
"18","6","232","100","2945","16","73","1"," amc hornet"
"18","6","250","88","3021","17","73","1"," ford maverick"
"23","6","198","95","2904","16","73","1"," plymouth duster"
"26","4","97","46","1950","21","73","2"," volkswagen super beetle"
"11","8","400","150","4997","14","73","1"," chevrolet impala"
"12","8","400","167","4906","13","73","1"," ford country"
"13","8","360","170","4654","13","73","1"," plymouth custom suburb"
"12","8","350","180","4499","13","73","1"," oldsmobile vista cruiser"
"18","6","232","100","2789","15","73","1"," amc gremlin"
"20","4","97","88","2279","19","73","3"," toyota carina"
"21","4","140","72","2401","20","73","1"," chevrolet vega"
"22","4","108","94","2379","17","73","3"," datsun 610"
"18","3","70","90","2124","14","73","3"," maxda rx3"
"19","4","122","85","2310","19","73","1"," ford pinto"
"21","6","155","107","2472","14","73","1"," mercury capri v6"
"26","4","98","90","2265","16","73","2"," fiat 124 sport coupe"
"15","8","350","145","4082","13","73","1"," chevrolet monte carlo s"
"16","8","400","230","4278","10","73","1"," pontiac grand prix"
"29","4","68","49","1867","20","73","2"," fiat 128"
"24","4","116","75","2158","16","73","2"," opel manta"
"20","4","114","91","2582","14","73","2"," audi 100ls"
"19","4","121","112","2868","16","73","2"," volvo 144ea"
"15","8","318","150","3399","11","73","1"," dodge dart custom"
"24","4","121","110","2660","14","73","2"," saab 99le"
"20","6","156","122","2807","14","73","3"," toyota mark ii"
"11","8","350","180","3664","11","73","1"," oldsmobile omega"
"20","6","198","95","3102","17","74","1"," plymouth duster"
"19","6","232","100","2901","16","74","1"," amc hornet"
"15","6","250","100","3336","17","74","1"," chevrolet nova"
"31","4","79","67","1950","19","74","3"," datsun b210"
"26","4","122","80","2451","17","74","1"," ford pinto"
"32","4","71","65","1836","21","74","3"," toyota corolla 1200"
"25","4","140","75","2542","17","74","1"," chevrolet vega"
"16","6","250","100","3781","17","74","1"," chevrolet chevelle malibu classic"
"16","6","258","110","3632","18","74","1"," amc matador"
"18","6","225","105","3613","17","74","1"," plymouth satellite sebring"
"16","8","302","140","4141","14","74","1"," ford gran torino"
"13","8","350","150","4699","15","74","1"," buick century luxus (sw)"
"14","8","318","150","4457","14","74","1"," dodge coronet custom (sw)"
"14","8","302","140","4638","16","74","1"," ford gran torino (sw)"
"14","8","304","150","4257","16","74","1"," amc matador (sw)"
"29","4","98","83","2219","17","74","2"," audi fox"
"26","4","79","67","1963","16","74","2"," volkswagen dasher"
"26","4","97","78","2300","15","74","2"," opel manta"
"31","4","76","52","1649","17","74","3"," toyota corona"
"32","4","83","61","2003","19","74","3"," datsun 710"
"28","4","90","75","2125","15","74","1"," dodge colt"
"24","4","90","75","2108","16","74","2"," fiat 128"
"26","4","116","75","2246","14","74","2"," fiat 124 tc"
"24","4","120","97","2489","15","74","3"," honda civic"
"26","4","108","93","2391","16","74","3"," subaru"
"31","4","79","67","2000","16","74","2"," fiat x1.9"
"19","6","225","95","3264","16","75","1"," plymouth valiant custom"
"18","6","250","105","3459","16","75","1"," chevrolet nova"
"15","6","250","72","3432","21","75","1"," mercury monarch"
"15","6","250","72","3158","20","75","1"," ford maverick"
"16","8","400","170","4668","12","75","1"," pontiac catalina"
"15","8","350","145","4440","14","75","1"," chevrolet bel air"
"16","8","318","150","4498","15","75","1"," plymouth grand fury"
"14","8","351","148","4657","14","75","1"," ford ltd"
"17","6","231","110","3907","21","75","1"," buick century"
"16","6","250","105","3897","19","75","1"," chevroelt chevelle malibu"
"15","6","258","110","3730","19","75","1"," amc matador"
"18","6","225","95","3785","19","75","1"," plymouth fury"
"21","6","231","110","3039","15","75","1"," buick skyhawk"
"20","8","262","110","3221","14","75","1"," chevrolet monza 2+2"
"13","8","302","129","3169","12","75","1"," ford mustang ii"
"29","4","97","75","2171","16","75","3"," toyota corolla"
"23","4","140","83","2639","17","75","1"," ford pinto"
"20","6","232","100","2914","16","75","1"," amc gremlin"
"23","4","140","78","2592","19","75","1"," pontiac astro"
"24","4","134","96","2702","14","75","3"," toyota corona"
"25","4","90","71","2223","17","75","2"," volkswagen dasher"
"24","4","119","97","2545","17","75","3"," datsun 710"
"18","6","171","97","2984","15","75","1"," ford pinto"
"29","4","90","70","1937","14","75","2"," volkswagen rabbit"
"19","6","232","90","3211","17","75","1"," amc pacer"
"23","4","115","95","2694","15","75","2"," audi 100ls"
"23","4","120","88","2957","17","75","2"," peugeot 504"
"22","4","121","98","2945","15","75","2"," volvo 244dl"
"25","4","121","115","2671","14","75","2"," saab 99le"
"33","4","91","53","1795","18","75","3"," honda civic cvcc"
"28","4","107","86","2464","16","76","2"," fiat 131"
"25","4","116","81","2220","17","76","2"," opel 1900"
"25","4","140","92","2572","15","76","1"," capri ii"
"26","4","98","79","2255","18","76","1"," dodge colt"
"27","4","101","83","2202","15","76","2"," renault 12tl"
"18","8","305","140","4215","13","76","1"," chevrolet chevelle malibu classic"
"16","8","318","150","4190","13","76","1"," dodge coronet brougham"
"16","8","304","120","3962","14","76","1"," amc matador"
"15","8","351","152","4215","13","76","1"," ford gran torino"
"22","6","225","100","3233","15","76","1"," plymouth valiant"
"22","6","250","105","3353","15","76","1"," chevrolet nova"
"24","6","200","81","3012","18","76","1"," ford maverick"
"23","6","232","90","3085","18","76","1"," amc hornet"
"29","4","85","52","2035","22","76","1"," chevrolet chevette"
"25","4","98","60","2164","22","76","1"," chevrolet woody"
"29","4","90","70","1937","14","76","2"," vw rabbit"
"33","4","91","53","1795","17","76","3"," honda civic"
"20","6","225","100","3651","18","76","1"," dodge aspen se"
"18","6","250","78","3574","21","76","1"," ford granada ghia"
"19","6","250","110","3645","16","76","1"," pontiac ventura sj"
"18","6","258","95","3193","18","76","1"," amc pacer d/l"
"30","4","97","71","1825","12","76","2"," volkswagen rabbit"
"32","4","85","70","1990","17","76","3"," datsun b-210"
"28","4","97","75","2155","16","76","3"," toyota corolla"
"27","4","140","72","2565","14","76","1"," ford pinto"
"20","4","130","102","3150","16","76","2"," volvo 245"
"13","8","318","150","3940","13","76","1"," plymouth volare premier v8"
"19","4","120","88","3270","22","76","2"," peugeot 504"
"19","6","156","108","2930","16","76","3"," toyota mark ii"
"17","6","168","120","3820","17","76","2"," mercedes-benz 280s"
"17","8","350","180","4380","12","76","1"," cadillac seville"
"13","8","350","145","4055","12","76","1"," chevy c10"
"13","8","302","130","3870","15","76","1"," ford f108"
"13","8","318","150","3755","14","76","1"," dodge d100"
"32","4","98","68","2045","19","77","3"," honda accord cvcc"
"30","4","111","80","2155","15","77","1"," buick opel isuzu deluxe"
"36","4","79","58","1825","19","77","2"," renault 5 gtl"
"26","4","122","96","2300","16","77","1"," plymouth arrow gs"
"34","4","85","70","1945","17","77","3"," datsun f-10 hatchback"
"18","8","305","145","3880","13","77","1"," chevrolet caprice classic"
"17","8","260","110","4060","19","77","1"," oldsmobile cutlass supreme"
"16","8","318","145","4140","14","77","1"," dodge monaco brougham"
"15","8","302","130","4295","15","77","1"," mercury cougar brougham"
"18","6","250","110","3520","16","77","1"," chevrolet concours"
"21","6","231","105","3425","17","77","1"," buick skylark"
"19","6","225","100","3630","18","77","1"," plymouth volare custom"
"19","6","250","98","3525","19","77","1"," ford granada"
"16","8","400","180","4220","11","77","1"," pontiac grand prix lj"
"16","8","350","170","4165","11","77","1"," chevrolet monte carlo landau"
"16","8","400","190","4325","12","77","1"," chrysler cordoba"
"16","8","351","149","4335","15","77","1"," ford thunderbird"
"29","4","97","78","1940","15","77","2"," volkswagen rabbit custom"
"25","4","151","88","2740","16","77","1"," pontiac sunbird coupe"
"26","4","97","75","2265","18","77","3"," toyota corolla liftback"
"26","4","140","89","2755","16","77","1"," ford mustang ii 2+2"
"31","4","98","63","2051","17","77","1"," chevrolet chevette"
"34","4","98","83","2075","16","77","1"," dodge colt m/m"
"30","4","97","67","1985","16","77","3"," subaru dl"
"31","4","97","78","2190","14","77","2"," volkswagen dasher"
"22","6","146","97","2815","15","77","3"," datsun 810"
"22","4","121","110","2600","13","77","2"," bmw 320i"
"22","3","80","110","2720","14","77","3"," mazda rx-4"
"43","4","90","48","1985","22","78","2"," volkswagen rabbit custom diesel"
"36","4","98","66","1800","14","78","1"," ford fiesta"
"33","4","78","52","1985","19","78","3"," mazda glc deluxe"
"39","4","85","70","2070","19","78","3"," datsun b210 gx"
"36","4","91","60","1800","16","78","3"," honda civic cvcc"
"20","8","260","110","3365","16","78","1"," oldsmobile cutlass salon brougham"
"19","8","318","140","3735","13","78","1"," dodge diplomat"
"20","8","302","139","3570","13","78","1"," mercury monarch ghia"
"19","6","231","105","3535","19","78","1"," pontiac phoenix lj"
"21","6","200","95","3155","18","78","1"," chevrolet malibu"
"20","6","200","85","2965","16","78","1"," ford fairmont (auto)"
"25","4","140","88","2720","15","78","1"," ford fairmont (man)"
"21","6","225","100","3430","17","78","1"," plymouth volare"
"19","6","232","90","3210","17","78","1"," amc concord"
"21","6","231","105","3380","16","78","1"," buick century special"
"21","6","200","85","3070","17","78","1"," mercury zephyr"
"19","6","225","110","3620","19","78","1"," dodge aspen"
"18","6","258","120","3410","15","78","1"," amc concord d/l"
"19","8","305","145","3425","13","78","1"," chevrolet monte carlo landau"
"18","6","231","165","3445","13","78","1"," buick regal sport coupe (turbo)"
"18","8","302","139","3205","11","78","1"," ford futura"
"18","8","318","140","4080","14","78","1"," dodge magnum xe"
"30","4","98","68","2155","17","78","1"," chevrolet chevette"
"28","4","134","95","2560","14","78","3"," toyota corona"
"27","4","119","97","2300","15","78","3"," datsun 510"
"31","4","105","75","2230","15","78","1"," dodge omni"
"21","4","134","95","2515","15","78","3"," toyota celica gt liftback"
"23","4","156","105","2745","17","78","1"," plymouth sapporo"
"24","4","151","85","2855","18","78","1"," oldsmobile starfire sx"
"24","4","119","97","2405","15","78","3"," datsun 200-sx"
"20","5","131","103","2830","16","78","2"," audi 5000"
"17","6","163","125","3140","14","78","2"," volvo 264gl"
"22","4","121","115","2795","16","78","2"," saab 99gle"
"16","6","163","133","3410","16","78","2"," peugeot 604sl"
"32","4","89","71","1990","15","78","2"," volkswagen scirocco"
"30","4","98","68","2135","17","78","3"," honda accord lx"
"22","6","231","115","3245","15","79","1"," pontiac lemans v6"
"20","6","200","85","2990","18","79","1"," mercury zephyr 6"
"22","4","140","88","2890","17","79","1"," ford fairmont 4"
"20","6","232","90","3265","18","79","1"," amc concord dl 6"
"21","6","225","110","3360","17","79","1"," dodge aspen 6"
"17","8","305","130","3840","15","79","1"," chevrolet caprice classic"
"18","8","302","129","3725","13","79","1"," ford ltd landau"
"17","8","351","138","3955","13","79","1"," mercury grand marquis"
"18","8","318","135","3830","15","79","1"," dodge st. regis"
"17","8","350","155","4360","15","79","1"," buick estate wagon (sw)"
"16","8","351","142","4054","14","79","1"," ford country squire (sw)"
"19","8","267","125","3605","15","79","1"," chevrolet malibu classic (sw)"
"19","8","360","150","3940","13","79","1"," chrysler lebaron town @ country (sw)"
"32","4","89","71","1925","14","79","2"," vw rabbit custom"
"34","4","86","65","1975","15","79","3"," maxda glc deluxe"
"36","4","98","80","1915","14","79","1"," dodge colt hatchback custom"
"27","4","121","80","2670","15","79","1"," amc spirit dl"
"25","5","183","77","3530","20","79","2"," mercedes benz 300d"
"23","8","350","125","3900","17","79","1"," cadillac eldorado"
"27","4","141","71","3190","25","79","2"," peugeot 504"
"24","8","260","90","3420","22","79","1"," oldsmobile cutlass salon brougham"
"34","4","105","70","2200","13","79","1"," plymouth horizon"
"35","4","105","70","2150","15","79","1"," plymouth horizon tc3"
"32","4","85","65","2020","19","79","3"," datsun 210"
"37","4","91","69","2130","15","79","2"," fiat strada custom"
"28","4","151","90","2670","16","79","1"," buick skylark limited"
"29","6","173","115","2595","11","79","1"," chevrolet citation"
"27","6","173","115","2700","13","79","1"," oldsmobile omega brougham"
"34","4","151","90","2556","13","79","1"," pontiac phoenix"
"42","4","98","76","2144","15","80","2"," vw rabbit"
"38","4","89","60","1968","19","80","3"," toyota corolla tercel"
"32","4","98","70","2120","16","80","1"," chevrolet chevette"
"37","4","86","65","2019","16","80","3"," datsun 310"
"28","4","151","90","2678","17","80","1"," chevrolet citation"
"26","4","140","88","2870","18","80","1"," ford fairmont"
"24","4","151","90","3003","20","80","1"," amc concord"
"19","6","225","90","3381","19","80","1"," dodge aspen"
"34","4","97","78","2188","16","80","2"," audi 4000"
"30","4","134","90","2711","16","80","3"," toyota corona liftback"
"31","4","120","75","2542","18","80","3"," mazda 626"
"37","4","119","92","2434","15","80","3"," datsun 510 hatchback"
"32","4","108","75","2265","15","80","3"," toyota corolla"
"47","4","86","65","2110","18","80","3"," mazda glc"
"28","4","156","105","2800","14","80","1"," dodge colt"
"41","4","85","65","2110","19","80","3"," datsun 210"
"44","4","90","48","2085","22","80","2"," vw rabbit c (diesel)"
"43","4","90","48","2335","24","80","2"," vw dasher (diesel)"
"36","5","121","67","2950","20","80","2"," audi 5000s (diesel)"
"30","4","146","67","3250","22","80","2"," mercedes-benz 240d"
"45","4","91","67","1850","14","80","3"," honda civic 1500 gl"
"34","4","97","67","2145","18","80","3"," subaru dl"
"30","4","89","62","1845","15","80","2"," vokswagen rabbit"
"33","6","168","132","2910","11","80","3"," datsun 280-zx"
"24","3","70","100","2420","13","80","3"," mazda rx-7 gs"
"35","4","122","88","2500","15","80","2"," triumph tr7 coupe"
"32","4","107","72","2290","17","80","3"," honda accord"
"27","4","135","84","2490","16","81","1"," plymouth reliant"
"27","4","151","84","2635","16","81","1"," buick skylark"
"26","4","156","92","2620","14","81","1"," dodge aries wagon (sw)"
"24","6","173","110","2725","13","81","1"," chevrolet citation"
"30","4","135","84","2385","13","81","1"," plymouth reliant"
"39","4","79","58","1755","17","81","3"," toyota starlet"
"39","4","86","64","1875","16","81","1"," plymouth champ"
"35","4","81","60","1760","16","81","3"," honda civic 1300"
"32","4","97","67","2065","18","81","3"," subaru"
"37","4","85","65","1975","19","81","3"," datsun 210 mpg"
"38","4","89","62","2050","17","81","3"," toyota tercel"
"34","4","91","68","1985","16","81","3"," mazda glc 4"
"35","4","105","63","2215","15","81","1"," plymouth horizon 4"
"34","4","98","65","2045","16","81","1"," ford escort 4w"
"30","4","98","65","2380","21","81","1"," ford escort 2h"
"33","4","105","74","2190","14","81","2"," volkswagen jetta"
"34","4","107","75","2210","14","81","3"," honda prelude"
"32","4","108","75","2350","17","81","3"," toyota corolla"
"33","4","119","100","2615","15","81","3"," datsun 200sx"
"32","4","120","74","2635","18","81","3"," mazda 626"
"28","4","141","80","3230","20","81","2"," peugeot 505s turbo diesel"
"31","6","145","76","3160","20","81","2"," volvo diesel"
"25","6","168","116","2900","13","81","3"," toyota cressida"
"24","6","146","120","2930","14","81","3"," datsun 810 maxima"
"22","6","231","110","3415","16","81","1"," buick century"
"27","8","350","105","3725","19","81","1"," oldsmobile cutlass ls"
"20","6","200","88","3060","17","81","1"," ford granada gl"
"18","6","225","85","3465","17","81","1"," chrysler lebaron salon"
"28","4","112","88","2605","20","82","1"," chevrolet cavalier"
"27","4","112","88","2640","19","82","1"," chevrolet cavalier wagon"
"34","4","112","88","2395","18","82","1"," chevrolet cavalier 2-door"
"31","4","112","85","2575","16","82","1"," pontiac j2000 se hatchback"
"29","4","135","84","2525","16","82","1"," dodge aries se"
"27","4","151","90","2735","18","82","1"," pontiac phoenix"
"24","4","140","92","2865","16","82","1"," ford fairmont futura"
"36","4","105","74","1980","15","82","2"," volkswagen rabbit l"
"37","4","91","68","2025","18","82","3"," mazda glc custom l"
"31","4","91","68","1970","18","82","3"," mazda glc custom"
"38","4","105","63","2125","15","82","1"," plymouth horizon miser"
"36","4","98","70","2125","17","82","1"," mercury lynx l"
"36","4","120","88","2160","15","82","3"," nissan stanza xe"
"36","4","107","75","2205","15","82","3"," honda accord"
"34","4","108","70","2245","17","82","3"," toyota corolla"
"38","4","91","67","1965","15","82","3"," honda civic"
"32","4","91","67","1965","16","82","3"," honda civic (auto)"
"38","4","91","67","1995","16","82","3"," datsun 310 gx"
"25","6","181","110","2945","16","82","1"," buick century limited"
"38","6","262","85","3015","17","82","1"," oldsmobile cutlass ciera (diesel)"
"26","4","156","92","2585","15","82","1"," chrysler lebaron medallion"
"22","6","232","112","2835","15","82","1"," ford granada l"
"32","4","144","96","2665","14","82","3"," toyota celica gt"
"36","4","135","84","2370","13","82","1"," dodge charger 2.2"
"27","4","151","90","2950","17","82","1"," chevrolet camaro"
"27","4","140","86","2790","16","82","1"," ford mustang gl"
"44","4","97","52","2130","25","82","2"," vw pickup"
"32","4","135","84","2295","12","82","1"," dodge rampage"
"28","4","120","79","2625","19","82","1"," ford ranger"
"31","4","119","82","2720","19","82","1"," chevy s-10"
"25","4","98","0","2046","19","71","1"," ford pinto"
"21","6","200","0","2875","17","74","1"," ford maverick"
"41","4","85","0","1835","17","80","2"," renault lecar deluxe"
"24","4","140","0","2905","14","80","1"," ford mustang cobra"
"35","4","100","0","2320","16","81","2"," renault 18i"
"23","4","151","0","3035","21","82","1"," amc concord dl"
